Iteration, Discriminator Loss, Generator Loss, Accuracy
0, 121.932343, 0.687054, 0.500000
10, 0.534491, 0.945848, 0.980469
20, 0.216655, 1.725080, 0.992188
30, 0.086516, 3.144710, 0.988281
40, 0.202235, 3.272784, 0.962891
50, 0.287779, 2.647780, 0.966797
60, 0.431568, 2.562715, 0.923828
70, 0.875391, 1.532535, 0.830078
80, 0.690096, 1.285748, 0.779297
90, 0.825501, 2.016854, 0.814453
100, 0.882065, 2.244112, 0.865234
110, 0.722625, 2.418707, 0.890625
120, 0.656750, 2.082588, 0.898438
130, 0.891828, 2.274114, 0.884766
140, 2.069871, 4.030111, 0.742188
150, 1.081644, 3.114894, 0.826172
160, 7.947341, 0.000000, 0.447266
170, 3.410393, 0.000018, 0.435547
180, 1.301572, 3.660462, 0.826172
190, 1.132514, 0.832766, 0.826172
200, 9.821661, 6.146245, 0.708984
210, 9.181137, 0.001492, 0.384766
220, 1.482169, 5.625951, 0.726562
230, 9.080436, 5.655256, 0.707031
240, 2.624658, 0.000812, 0.416016
250, 6.973645, 0.000022, 0.421875
260, 4.323244, 0.000244, 0.402344
270, 9.808643, 0.010903, 0.373047
280, 2.953684, 0.000050, 0.386719
290, 6.352262, 0.000003, 0.394531
300, 3.006803, 0.000000, 0.400391
310, 13.124342, 0.400206, 0.359375
320, 14.511757, 3.498346, 0.763672
330, 3.832470, 14.394754, 0.699219
340, 5.293674, 9.742877, 0.748047
350, 5.058600, 8.399500, 0.726562
360, 1.280321, 5.076676, 0.757812
370, 7.306375, 6.091863, 0.732422
380, 7.276014, 5.348519, 0.759766
390, 5.980558, 5.047387, 0.681641
400, 1.289410, 1.903794, 0.867188
410, 1.093452, 0.432674, 0.556641
420, 6.852677, 0.006517, 0.359375
430, 9.475677, 0.000008, 0.349609
440, 5.418548, 7.723345, 0.500000
450, 5.410072, 0.000002, 0.402344
460, 13.563459, 2.228298, 0.746094
470, 2.125164, 0.012747, 0.332031
480, 7.495417, 0.000115, 0.380859
490, 6.533933, 0.058553, 0.353516
500, 7.383368, 0.008648, 0.414062
510, 6.273766, 0.020256, 0.443359
520, 6.751329, 0.038831, 0.414062
530, 8.154423, 0.418747, 0.619141
540, 12.056039, 0.504778, 0.537109
550, 7.862173, 3.221755, 0.738281
560, 0.192605, 6.710102, 0.927734
570, 0.183262, 3.597784, 0.791016
580, 8.088781, 0.052613, 0.382812
590, 10.928147, 0.005005, 0.291016
600, 8.454622, 0.000013, 0.363281
610, 3.203790, 0.000022, 0.447266
620, 3.137919, 0.000041, 0.453125
630, 8.832985, 0.051425, 0.380859
640, 9.776530, 0.191567, 0.410156
650, 8.889482, 0.478778, 0.433594
660, 7.611227, 0.282989, 0.472656
670, 4.745004, 0.065443, 0.472656
680, 4.975363, 0.709225, 0.783203
690, 3.292530, 0.453363, 0.671875
700, 2.006702, 7.124841, 0.644531
710, 3.115235, 2.695368, 0.544922
720, 2.951504, 1.629852, 0.494141
730, 2.210582, 1.010191, 0.439453
740, 1.447858, 0.914038, 0.486328
750, 1.129514, 1.529743, 0.601562
760, 1.282974, 1.115806, 0.595703
770, 1.346193, 0.836115, 0.562500
780, 1.382031, 0.665885, 0.554688
790, 1.372371, 0.626407, 0.611328
800, 1.368812, 0.608920, 0.589844
810, 1.374983, 0.683343, 0.554688
820, 1.350437, 0.655456, 0.533203
830, 1.310436, 0.717334, 0.500000
840, 1.339628, 0.750968, 0.500000
850, 1.335059, 0.678590, 0.500000
860, 1.334649, 0.754064, 0.500000
870, 1.347932, 0.529776, 0.476562
880, 1.308276, 0.773673, 0.501953
890, 1.334076, 0.687939, 0.500000
900, 1.359540, 0.728842, 0.500000
910, 1.342885, 0.836578, 0.500000
920, 1.296408, 0.690088, 0.595703
930, 1.283901, 0.599567, 0.726562
940, 1.276343, 0.716525, 0.660156
950, 1.247197, 0.728275, 0.654297
960, 1.242295, 0.702050, 0.623047
970, 1.191388, 0.801772, 0.669922
980, 1.212837, 0.600239, 0.841797
